date,Symbol,Series,Prev Close,open,high,low,Last Price,close,Average Price,volume,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty, 
11-Aug-21,ACC,EQ,2296.95,2297,2327.95,2248.55,2276.9,2276.05,2270.55,401413,911429368.2,26273,164669,41.02, 
10-Aug-21,ACC,EQ,2312.6,2324,2330,2266.95,2296,2296.95,2301.73,321608,740253479.7,19833,83463,25.95, 
09-Aug-21,ACC,EQ,2341.35,2348,2366.55,2304,2322.3,2312.6,2331.85,449768,1048790657,21109,192059,42.7, 
06-Aug-21,ACC,EQ,2392.2,2382.1,2398.8,2335.4,2344,2341.35,2362.48,516746,1220800564,26616,216620,41.92, 
05-Aug-21,ACC,EQ,2398.6,2400.05,2413.7,2375.2,2390,2392.2,2394.73,399193,955961209.5,18749,95827,24.01, 
04-Aug-21,ACC,EQ,2433.1,2433,2454.95,2393,2398,2398.6,2418.66,380386,920022749.2,21605,113591,29.86, 
03-Aug-21,ACC,EQ,2424,2420,2440.8,2392,2429.55,2433.1,2417.52,538219,1301155944,33638,247167,45.92, 
02-Aug-21,ACC,EQ,2394.1,2395,2434.4,2381.2,2424,2424,2412.5,464987,1121782303,28026,171593,36.9, 
30-Jul-21,ACC,EQ,2364,2365,2415,2360,2395.5,2394.1,2390.86,465284,1112427497,21995,165508,35.57, 
29-Jul-21,ACC,EQ,2393.9,2400,2413,2349.8,2374,2364,2373.29,677603,1608148770,32469,197624,29.17, 
28-Jul-21,ACC,EQ,2371.7,2369,2397.2,2330.25,2392,2393.9,2367.06,437170,1034805622,23778,61021,13.96, 
27-Jul-21,ACC,EQ,2369.2,2371,2395,2356.8,2366.25,2371.7,2377.94,1017264,2418988551,46501,326849,32.13, 
26-Jul-21,ACC,EQ,2337.55,2337.3,2374.8,2308.1,2370.05,2369.2,2352.62,695393,1635996002,44997,217092,31.22, 
23-Jul-21,ACC,EQ,2290.25,2296.15,2375,2292.5,2338,2337.55,2345.19,1664900,3904502624,78552,213012,12.79, 
22-Jul-21,ACC,EQ,2308.85,2340,2340,2271.1,2291.8,2290.25,2301.58,1010305,2325299207,46876,219529,21.73, 
20-Jul-21,ACC,EQ,2151.9,2226,2344.05,2192.2,2301,2308.85,2287.35,8593295,19655907778,300851,441260,5.13, 
19-Jul-21,ACC,EQ,2129.35,2117.9,2168,2105.2,2167.35,2151.9,2137.47,666887,1425453487,37990,166573,24.98, 
16-Jul-21,ACC,EQ,2112.45,2122.45,2135,2112,2133,2129.35,2124.09,425910,904671739.4,28235,108342,25.44, 
15-Jul-21,ACC,EQ,2081.55,2080,2125.1,2068.7,2122.45,2112.45,2094.77,710905,1489185611,30923,278377,39.16, 
14-Jul-21,ACC,EQ,2084.8,2083.65,2097.95,2070.9,2075.05,2081.55,2084.56,363780,758321903.3,17407,113893,31.31, 
13-Jul-21,ACC,EQ,2072.3,2082,2091.7,2070.5,2085.5,2084.8,2082.9,420437,875728513.1,32556,123014,29.26, 
12-Jul-21,ACC,EQ,2037.25,2042.5,2087,2042.5,2072.2,2072.3,2072.35,770557,1596867595,32885,245957,31.92, 
09-Jul-21,ACC,EQ,2029.5,2029.5,2040,2017.1,2036,2037.25,2029.13,174442,353965464.6,19668,58168,33.35, 
08-Jul-21,ACC,EQ,2036.55,2041,2057.35,2022,2027.1,2029.5,2043.36,342553,699957636.7,20410,112608,32.87, 
07-Jul-21,ACC,EQ,2022.85,2031.7,2044.45,2012.9,2035.3,2036.55,2029.01,339727,689310270.9,36847,134898,39.71, 
06-Jul-21,ACC,EQ,1982.75,1987.85,2058.55,1983.05,2022,2022.85,2032.85,1171831,2382160324,43567,314069,26.8, 
05-Jul-21,ACC,EQ,1987.25,1997.65,2006.6,1975,1981.1,1982.75,1989.54,328547,653658787.1,23547,120251,36.6, 
02-Jul-21,ACC,EQ,1996,2003.9,2004.35,1978,1991,1987.25,1987.49,293738,583802077.3,13624,89714,30.54, 
01-Jul-21,ACC,EQ,2014.8,2021.8,2021.8,1991.7,1996.6,1996,2002.69,335738,672378052.4,18569,109247,32.54, 
30-Jun-21,ACC,EQ,2053.05,2052.2,2052.45,2008.05,2016,2014.8,2031.44,450373,914904275.5,24909,238888,53.04, 
29-Jun-21,ACC,EQ,2050.95,2054.3,2064.9,2040,2052.2,2053.05,2051.5,279895,574205296.7,18467,72434,25.88, 
28-Jun-21,ACC,EQ,2041.15,2046,2059.95,2023.1,2050,2050.95,2047.63,380090,778285557.8,19919,145873,38.38, 
25-Jun-21,ACC,EQ,2027.45,2028.9,2048,2028,2044.9,2041.15,2036.34,329128,670216498,12776,113575,34.51, 
24-Jun-21,ACC,EQ,2030.55,2025,2040.7,2019.1,2025,2027.45,2028.15,253261,513651517.6,12153,94797,37.43, 
23-Jun-21,ACC,EQ,2049.35,2049.7,2059.9,2025,2025.1,2030.55,2038.17,268921,548106325.7,16107,37860,14.08, 
22-Jun-21,ACC,EQ,2028.1,2032.95,2078,2028.65,2049.7,2049.35,2052.88,712732,1463156683,29184,256468,35.98, 
21-Jun-21,ACC,EQ,2027.9,2009.5,2041.9,1988.9,2025.6,2028.1,2021,478588,967227454,22389,180152,37.64, 
18-Jun-21,ACC,EQ,2042.2,2043.25,2063,1996.2,2025.95,2027.9,2029.23,502755,1020206048,21448,202797,40.34, 
17-Jun-21,ACC,EQ,2020.5,2005,2062.95,2005,2041,2042.2,2042.31,412228,841896549.3,19255,59095,14.34, 
16-Jun-21,ACC,EQ,2042.95,2042,2053,2013.4,2020,2020.5,2030.19,152299,309195475.4,8031,26130,17.16, 
15-Jun-21,ACC,EQ,2040.55,2042,2066,2031.05,2038.05,2042.95,2050.62,303143,621629910.9,20183,60513,19.96, 
14-Jun-21,ACC,EQ,2024.5,2022,2043.5,1990.05,2038,2040.55,2028.43,262106,531662598.1,14361,49377,18.84, 
11-Jun-21,ACC,EQ,2030.3,2030.3,2043.7,2013.15,2026.7,2024.5,2027.14,173453,351612848.5,8857,37172,21.43, 
10-Jun-21,ACC,EQ,2004.4,2015,2037,2004.4,2029,2030.3,2027.85,364626,739407067.7,15925,71356,19.57, 
09-Jun-21,ACC,EQ,2042.65,2045,2045.4,1990.7,2004,2004.4,2021.59,470131,950411273.1,22240,174409,37.1, 
08-Jun-21,ACC,EQ,2045.95,2050,2062.6,2026.3,2043.9,2042.65,2043.16,314233,642029095.8,15236,72555,23.09, 
07-Jun-21,ACC,EQ,2009.9,2015.5,2058.9,2011,2045.15,2045.95,2043.19,494925,1011228004,25735,152668,30.85, 
04-Jun-21,ACC,EQ,2027.35,2024,2037.1,2005,2010,2009.9,2018.72,219638,443388609.8,10971,38175,17.38, 
03-Jun-21,ACC,EQ,1997.1,1999.15,2030,1999.15,2024,2027.35,2019.38,571072,1153211571,24694,197183,34.53, 
02-Jun-21,ACC,EQ,1973.45,1975.25,2007.3,1970.9,1996,1997.1,1993.71,447284,891754763.8,19905,109383,24.45, 
01-Jun-21,ACC,EQ,1986.05,1990,2001,1959.75,1970,1973.45,1979.46,297295,588483388.6,12595,60122,20.22, 
31-May-21,ACC,EQ,1985.45,1979.1,2001.4,1968.5,1985,1986.05,1984.81,443113,879494887.5,20522,109187,24.64, 
28-May-21,ACC,EQ,2000.15,1994.9,2009.6,1975,1979.95,1985.45,1990.29,415702,827368990.1,19539,92158,22.17, 
27-May-21,ACC,EQ,1977.45,1979.3,2040,1966.65,1990,2000.15,2005.79,1967922,3947246810,44605,981112,49.86, 
26-May-21,ACC,EQ,1961.2,1962.45,1981.9,1957.2,1980.9,1977.45,1972.39,444885,877486846.3,16255,177230,39.84, 
25-May-21,ACC,EQ,1984.45,1995,1995.4,1953.4,1961.7,1961.2,1970.03,501731,988423716.7,21862,149126,29.72, 
24-May-21,ACC,EQ,1965.25,1968,1997.9,1953,1986.75,1984.45,1976.43,657392,1299290419,23103,179668,27.33, 
21-May-21,ACC,EQ,1958.15,1970.05,1987.95,1959.3,1970,1965.25,1976,674816,1333436397,22624,175275,25.97, 
20-May-21,ACC,EQ,1927.25,1940,1963.5,1921,1959.25,1958.15,1949.32,696109,1356937495,26595,184798,26.55, 
19-May-21,ACC,EQ,1939.95,1939.45,1982,1917,1924.9,1927.25,1951.62,963994,1881353054,30015,330488,34.28, 
18-May-21,ACC,EQ,1903.6,1916,1951.85,1906.05,1936.2,1939.95,1932.58,874925,1690862877,29577,278422,31.82, 
17-May-21,ACC,EQ,1876.8,1877.35,1907.75,1867.4,1899.35,1903.6,1890.82,534633,1010895195,21587,170992,31.98, 
14-May-21,ACC,EQ,1882.7,1893.75,1898.9,1854,1876.05,1876.8,1878.26,567649,1066192177,26641,125252,22.07, 
12-May-21,ACC,EQ,1909.95,1903.9,1909.95,1877,1886.2,1882.7,1895.78,464947,881438635.2,18171,102613,22.07, 
11-May-21,ACC,EQ,1885.7,1870,1920,1860.25,1904.5,1909.95,1903.56,692022,1317304391,23948,161869,23.39, 
10-May-21,ACC,EQ,1904.75,1918.5,1921,1880.25,1886.2,1885.7,1898.4,575662,1092834230,22395,119313,20.73, 
07-May-21,ACC,EQ,1896.25,1903,1928.9,1896.05,1904.55,1904.75,1912.21,641334,1226365482,35637,138073,21.53, 
06-May-21,ACC,EQ,1888.55,1895,1908.5,1877.2,1894,1896.25,1892.76,292905,554398870.3,12794,40846,13.95, 
05-May-21,ACC,EQ,1869,1875,1897.95,1870.1,1886.1,1888.55,1884.3,381806,719438094.2,14550,39623,10.38, 
04-May-21,ACC,EQ,1898,1912,1915,1866,1869,1869,1890.7,478133,904005034.9,23168,105378,22.04, 
03-May-21,ACC,EQ,1882.75,1860,1904.9,1853.2,1899,1898,1886.47,501054,945224321.8,20197,120447,24.04, 
30-Apr-21,ACC,EQ,1877.05,1869,1903.45,1855.05,1879,1882.75,1881.56,1081167,2034282181,39888,382606,35.39, 
29-Apr-21,ACC,EQ,1872.15,1881,1886.8,1855,1879,1877.05,1869.66,597466,1117060709,19591,174203,29.16, 
28-Apr-21,ACC,EQ,1859.75,1871,1884.95,1850,1870.45,1872.15,1870.71,879407,1645119209,33036,266882,30.35, 
27-Apr-21,ACC,EQ,1844.75,1845.35,1867.45,1836.3,1857,1859.75,1855.57,908739,1686228673,37022,191043,21.02, 
26-Apr-21,ACC,EQ,1812.9,1818,1851.95,1817.25,1841.05,1844.75,1838.97,833521,1532818407,34089,149490,17.93, 
23-Apr-21,ACC,EQ,1831.65,1825.9,1854.9,1802,1813,1812.9,1830.08,886188,1621797331,50470,162332,18.32, 
22-Apr-21,ACC,EQ,1825.8,1824.95,1850,1782.25,1828.9,1831.65,1826.87,1662315,3036832147,57630,288439,17.35, 
20-Apr-21,ACC,EQ,1876.75,1980,1980,1810,1818,1825.8,1887.11,5873433,11083806621,191958,522397,8.89, 
19-Apr-21,ACC,EQ,1881.75,1859.55,1881.9,1826.5,1873.75,1876.75,1853.76,1288212,2388038013,45574,391893,30.42, 
16-Apr-21,ACC,EQ,1836.65,1842.1,1902.35,1840.2,1884,1881.75,1880.21,1061445,1995736688,32306,298491,28.12, 
15-Apr-21,ACC,EQ,1882.15,1890,1896.2,1812,1839.9,1836.65,1834.95,706453,1296302678,33741,126937,17.97, 
13-Apr-21,ACC,EQ,1885.7,1895,1904.95,1858,1881.6,1882.15,1883.72,531684,1001545061,19783,107408,20.2, 
12-Apr-21,ACC,EQ,1960.75,1934.95,1934.95,1860.35,1895,1885.7,1896.94,810830,1538093293,30512,224004,27.63, 
09-Apr-21,ACC,EQ,1981.65,1999,2022.85,1948.45,1954,1960.75,1979.3,1376841,2725178436,55046,251234,18.25, 
08-Apr-21,ACC,EQ,1918.45,1925,2010,1924,2005,1981.65,1952.78,948277,1851773521,34728,197291,20.81, 
